OID,N,N_study,Source,BASE,X,Y,Precise,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Sample_met,Occurrence,Sample_yea,Sampling_e,Sampling_1,ID_Todo,TRAITS,BodyMass_k,DielActivi,HomeRange_,Locomotion,TrophicGui,Brain_size,Canine_Dim,MeanGroupS,Interbirth,Gestation,WeaningAge,MaxLongevi,LitterSz,AdultSexRa,Social_Sys,Mating_Sys,FOREST,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,CC,CC_new
-1,8037,263,Onderdonk & Chapman 2000,Richness,30.32359,0.597612,Precise,Uganda,Africa,Cercopithecidae,Cercopithecus,Cercopithecus ascanius,Cercopithecus_ascanius,Direct observation,1,1995,0,NA,NA,NA,3.24,D,22.5,AR,Frugivore,59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Cercopithecus ascanius,Least Concern,44,a,Cercopithecus_ascanius_a,13,75,75
-1,8038,263,Onderdonk & Chapman 2000,Richness,30.321879,0.593395,Precise,Uganda,Africa,Cercopithecidae,Cercopithecus,Cercopithecus ascanius,Cercopithecus_ascanius,Direct observation,1,1995,0,NA,NA,NA,3.24,D,22.5,AR,Frugivore,59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Cercopithecus ascanius,Least Concern,44,a,Cercopithecus_ascanius_a,14,75,75
-1,8039,263,Onderdonk & Chapman 2000,Richness,30.323252,0.592785,Precise,Uganda,Africa,Cercopithecidae,Cercopithecus,Cercopithecus ascanius,Cercopithecus_ascanius,Direct observation,1,1995,0,NA,NA,NA,3.24,D,22.5,AR,Frugivore,59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Cercopithecus ascanius,Least Concern,44,a,Cercopithecus_ascanius_a,15,75,75
-1,8040,263,Onderdonk & Chapman 2000,Richness,30.324214,0.59584,Precise,Uganda,Africa,Cercopithecidae,Cercopithecus,Cercopithecus ascanius,Cercopithecus_ascanius,Direct observation,0,1995,0,NA,NA,NA,3.24,D,22.5,AR,Frugivore,59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Cercopithecus ascanius,Least Concern,44,a,Cercopithecus_ascanius_a,16,75,75
-1,8041,263,Onderdonk & Chapman 2000,Richness,30.28538889,0.50315,Precise,Uganda,Africa,Cercopithecidae,Cercopithecus,Cercopithecus ascanius,Cercopithecus_ascanius,Direct observation,1,1995,0,NA,NA,NA,3.24,D,22.5,AR,Frugivore,59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Cercopithecus ascanius,Least Concern,44,a,Cercopithecus_ascanius_a,17,75,75
-1,8042,263,Onderdonk & Chapman 2000,Richness,30.28604444,0.4994,Precise,Uganda,Africa,Cercopithecidae,Cercopithecus,Cercopithecus ascanius,Cercopithecus_ascanius,Direct observation,1,1995,0,NA,NA,NA,3.24,D,22.5,AR,Frugivore,59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Cercopithecus ascanius,Least Concern,44,a,Cercopithecus_ascanius_a,18,75,75
-1,8043,263,Onderdonk & Chapman 2000,Richness,30.30201111,0.520497222,Precise,Uganda,Africa,Cercopithecidae,Cercopithecus,Cercopithecus ascanius,Cercopithecus_ascanius,Direct observation,1,1995,0,NA,NA,NA,3.24,D,22.5,AR,Frugivore,59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Cercopithecus ascanius,Least Concern,44,a,Cercopithecus_ascanius_a,19,75,75
-1,8044,263,Onderdonk & Chapman 2000,Richness,30.272575,0.463363889,Precise,Uganda,Africa,Cercopithecidae,Cercopithecus,Cercopithecus ascanius,Cercopithecus_ascanius,Direct observation,1,1995,0,NA,NA,NA,3.24,D,22.5,AR,Frugivore,59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Cercopithecus ascanius,Least Concern,44,a,Cercopithecus_ascanius_a,20,75,75
-1,8045,263,Onderdonk & Chapman 2000,Richness,30.28786944,0.505383333,Precise,Uganda,Africa,Cercopithecidae,Cercopithecus,Cercopithecus ascanius,Cercopithecus_ascanius,Direct observation,1,1995,0,NA,NA,NA,3.24,D,22.5,AR,Frugivore,59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Cercopithecus ascanius,Least Concern,44,a,Cercopithecus_ascanius_a,21,75,75
-1,8046,263,Onderdonk & Chapman 2000,Richness,30.29818333,0.513855556,Precise,Uganda,Africa,Cercopithecidae,Cercopithecus,Cercopithecus ascanius,Cercopithecus_ascanius,Direct observation,0,1995,0,NA,NA,NA,3.24,D,22.5,AR,Frugivore,59.58,1.56,28.8,1580.45,147,146.54,339.6,1.01,8.5,Polygyny,Harem Polygyny,NA,Tropical_and_suptropical_moist_broadleaf_forest,Cercopithecus ascanius,Least Concern,44,a,Cercopithecus_ascanius_a,22,75,75
