"OID","N","N_study","Source","BASE","X","Y","Precise","Country","Realm","Family","Genus","Taxon","Taxon_ITIS","Sample_met","Occurrence","Sample_yea","Sampling_e","Sampling_1","ID_Todo","TRAITS","BodyMass_k","DielActivi","HomeRange_","Locomotion","TrophicGui","Brain_size","Canine_Dim","MeanGroupS","Interbirth","Gestation","WeaningAge","MaxLongevi","LitterSz","AdultSexRa","Social_Sys","Mating_Sys","FOREST","BIOME","TaxonNameIUCN","redlistCategory","species_number","Source_grp","Dataset","row_id","CC","CC_new","nearpatch_ID","metric","treecover","near_p_dist","patch_area","dataset_row_id","row_id_2","row_id_3"
-1,146,538,"Fialho et al. 2014","Ocurrencias",-34.97116667,-6.557944444,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3213,75,75,294,"area",1,0,309.0114085,2,16,11
-1,151,538,"Fialho et al. 2014","Ocurrencias",-35.10597222,-6.731888889,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3218,75,75,617,"area",1,0,340.8928109,7,17,12
-1,173,538,"Fialho et al. 2014","Ocurrencias",-35.013,-7.777611111,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3240,75,75,445,"area",1,0,387.6155557,29,18,13
-1,165,538,"Fialho et al. 2014","Ocurrencias",-34.86075,-7.14575,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3232,75,75,349,"area",1,0,500.024983,21,19,14
-1,175,538,"Fialho et al. 2014","Ocurrencias",-35.40391667,-8.712666667,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3242,75,75,1,"area",0,42.80495886,501.3991814,31,20,15
-1,167,538,"Fialho et al. 2014","Ocurrencias",-34.92133333,-6.994111111,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3234,75,75,832,"area",1,0,521.0044116,23,21,16
-1,170,538,"Fialho et al. 2014","Ocurrencias",-34.99244444,-7.600861111,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3237,75,75,226,"area",1,0,710.368948,26,22,17
-1,180,538,"Fialho et al. 2014","Ocurrencias",-36.23536111,-9.757416667,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3247,75,75,203,"area",1,0,726.3096492,36,23,18
-1,164,538,"Fialho et al. 2014","Ocurrencias",-35.08825,-7.192805556,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3231,75,75,246,"area",1,0,795.1111813,20,24,19
-1,183,538,"Fialho et al. 2014","Ocurrencias",-36.18222222,-10.03508333,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical and Subtropical Dry Broadleaf Forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3250,75,75,4,"area",0,60.53535336,934.2716703,39,25,20
-1,184,538,"Fialho et al. 2014","Ocurrencias",-36.29533333,-10.00791667,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical and Subtropical Dry Broadleaf Forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3251,75,75,1,"area",0,95.7147978,945.9065499,40,26,21
-1,330,533,"Aguiar et al. 2007","Richness",-53.30305556,-22.72472222,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",0,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2342,75,75,1,"area",0,281.8623936,0.096885865,16,37,22
-1,332,533,"Aguiar et al. 2007","Richness",-53.30944444,-22.77527778,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",1,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2344,75,75,4,"area",0,44.01951034,0.193771729,18,38,23
-1,334,533,"Aguiar et al. 2007","Richness",-53.325,-22.72916667,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",0,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2346,75,75,1,"area",0,295.2918524,1.06574451,20,39,24
-1,341,533,"Aguiar et al. 2007","Richness",-53.34805556,-22.75027778,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",1,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2353,75,75,1,"area",0,69.60095708,1.453287968,27,40,25
-1,336,533,"Aguiar et al. 2007","Richness",-53.32805556,-22.75888889,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",0,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2348,75,75,1,"area",0,93.3794828,1.647059697,22,41,26
-1,329,533,"Aguiar et al. 2007","Richness",-53.28361111,-22.77666667,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",0,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2341,75,75,2,"area",0,124.5059771,2.034603155,15,42,27
-1,327,533,"Aguiar et al. 2007","Richness",-53.27861111,-22.70388889,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",1,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2339,75,75,1,"area",0,376.1028612,5.231836685,13,43,28
-1,315,533,"Aguiar et al. 2007","Richness",-53.07222222,-22.64305556,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",1,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2327,75,75,1,"area",0,265.9448836,5.328722549,1,44,29
-1,323,533,"Aguiar et al. 2007","Richness",-53.22583333,-22.73833333,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",1,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2335,75,75,1,"area",0,31.12649427,13.37024931,9,45,30
-1,316,533,"Aguiar et al. 2007","Richness",-53.07888889,-22.64916667,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta caraya","Alouatta_caraya","Line transects/boat trips",1,2006,0,"years, days",NA,NA,5.38,"D",6.9125,"AR","Folivore_frugivore",52.63,1.542,8,337.62,187,323.16,243.6,1.01,1.43,"Polygyndry","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta caraya","Near Threatened",3,"a","Alouatta_caraya_a",2328,75,75,1,"area",0,31.12649427,14.62976554,2,46,31
