"OID","N","N_study","Source","BASE","X","Y","Precise","Country","Realm","Family","Genus","Taxon","Taxon_ITIS","Sample_met","Occurrence","Sample_yea","Sampling_e","Sampling_1","ID_Todo","TRAITS","BodyMass_k","DielActivi","HomeRange_","Locomotion","TrophicGui","Brain_size","Canine_Dim","MeanGroupS","Interbirth","Gestation","WeaningAge","MaxLongevi","LitterSz","AdultSexRa","Social_Sys","Mating_Sys","FOREST","BIOME","TaxonNameIUCN","redlistCategory","species_number","Source_grp","Dataset","row_id","nearpatch_ID","metric","treecover","near_p_dist","patch_area","dataset_row_id","row_id_2","row_id_3"
-1,177,538,"Fialho et al. 2014","Ocurrencias",-35.50072222,-9.227416667,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3244,1,"area",0,193.807694172165,0.274839675514619,33,6,1
-1,174,538,"Fialho et al. 2014","Ocurrencias",-35.05261111,-8.525777778,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Mangroves","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3241,567,"area",1,0,61.6557005404462,30,7,2
-1,148,538,"Fialho et al. 2014","Ocurrencias",-35.13305556,-6.610527778,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical and Subtropical Dry Broadleaf Forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3215,351,"area",1,0,96.4687261056305,4,8,3
-1,179,538,"Fialho et al. 2014","Ocurrencias",-36.30797222,-10.113,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical and Subtropical Dry Broadleaf Forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3246,282,"area",1,0,115.615890166483,35,9,4
-1,150,538,"Fialho et al. 2014","Ocurrencias",-35.08458333,-6.646611111,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3217,483,"area",1,0,126.609477187066,6,10,5
-1,181,538,"Fialho et al. 2014","Ocurrencias",-35.98216667,-9.516777778,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3248,1,"area",0,85.6099177299162,138.610809684537,37,11,6
-1,147,538,"Fialho et al. 2014","Ocurrencias",-35.13152778,-6.570138889,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical and Subtropical Dry Broadleaf Forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3214,245,"area",1,0,146.306320598949,3,12,7
-1,149,538,"Fialho et al. 2014","Ocurrencias",-35.06152778,-6.637666667,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3216,745,"area",1,0,266.960938149864,5,13,8
-1,169,538,"Fialho et al. 2014","Ocurrencias",-34.97588889,-7.51325,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3236,313,"area",1,0,277.221619369077,25,14,9
-1,159,538,"Fialho et al. 2014","Ocurrencias",-35.15441667,-7.042833333,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3226,312,"area",1,0,307.087530775001,15,15,10
-1,146,538,"Fialho et al. 2014","Ocurrencias",-34.97116667,-6.557944444,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3213,294,"area",1,0,309.011408503603,2,16,11
-1,151,538,"Fialho et al. 2014","Ocurrencias",-35.10597222,-6.731888889,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3218,617,"area",1,0,340.892810863299,7,17,12
-1,173,538,"Fialho et al. 2014","Ocurrencias",-35.013,-7.777611111,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3240,445,"area",1,0,387.615555700784,29,18,13
-1,165,538,"Fialho et al. 2014","Ocurrencias",-34.86075,-7.14575,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3232,349,"area",1,0,500.024982986259,21,19,14
-1,175,538,"Fialho et al. 2014","Ocurrencias",-35.40391667,-8.712666667,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3242,1,"area",0,42.8049588649581,501.399181363836,31,20,15
