"Dataset","n","simulation_number","patch_comb_number","vars","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","habitat_amount","Cumulative_Occurrence","Source","Realm","Family","Genus","Taxon_ITIS","TaxonNameIUCN","redlistCategory","Occurrence","mean_patch_area_log"
"Alouatta_belzebul_a",12,1,8,1,435.376583756879,313.767113125816,392.974929373318,435.68501494829,386.899699120616,0.641292576200778,867.027563023451,866.38627044725,0.179455381675473,-1.64412482072562,90.5767636130209,"seventy_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.63886506728971
"Alouatta_belzebul_a",7,1,9,1,741.988598267894,129.370908365688,754.434909287623,741.988598267894,134.060032660005,511.018570006844,867.027563023451,356.008993016607,-0.55366187916107,-1.26223575534462,48.8976072031622,"seventy_percent",2,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.87039723176503
"Alouatta_belzebul_a",12,1,10,1,432.574745953716,296.828528419943,392.974929373318,432.322809584494,360.413674430948,0.641292576200778,867.027563023451,866.38627044725,0.153388257247105,-1.59802083605093,85.6870153932073,"seventy_percent",4,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.63606116139736
"Alouatta_belzebul_a",12,1,11,1,435.368949321448,287.00490426635,392.974929373318,435.675853625772,375.354508871275,0.641292576200778,867.027563023451,866.38627044725,0.114299246155451,-1.48037991224085,82.85117936846,"seventy_percent",4,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.63885745176244
"Alouatta_belzebul_a",10,1,12,1,516.762719225103,316.729366409721,565.436825758743,524.084906246938,421.331531217185,107.920379252073,867.027563023451,759.107183771378,-0.129545275849903,-1.92215702847929,100.158619971674,"seventy_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.71329117484223
"Alouatta_belzebul_a",11,1,13,1,468.068624351426,312.551943342593,466.860995474166,475.676223585115,426.357084619831,0.641292576200778,867.027563023451,866.38627044725,-0.0898263708121071,-1.74688842509817,94.2379566876181,"seventy_percent",4,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.67030953040809
"Alouatta_belzebul_a",9,1,14,1,562.281259113943,257.680310598982,664.012656043319,562.281259113943,286.456543951336,157.666360520217,857.224947930096,699.558587409879,-0.267007569883515,-1.72622621896119,85.8934368663273,"seventy_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.74995360867562
"Alouatta_belzebul_a",11,1,15,1,471.474970632804,310.221558205571,466.860995474166,479.839535706799,426.357084619831,0.641292576200778,867.027563023451,866.38627044725,-0.108083204592983,-1.71829379519143,93.5353191315707,"seventy_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.67345864213255
"Alouatta_belzebul_a",9,1,16,1,568.001996063544,254.593857404454,664.012656043319,568.001996063544,263.909466523209,164.995418533943,857.224947930096,692.229529396153,-0.308025409545146,-1.69032168033522,84.864619134818,"seventy_percent",2,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.75434986190443
"Alouatta_belzebul_a",8,1,17,1,638.234984810676,240.193139145111,726.309649159964,638.234984810676,201.361700525302,301.041057913675,867.027563023451,565.986505109776,-0.38925956951154,-1.83113323342541,84.9210987419959,"seventy_percent",2,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.80498060633477
"Alouatta_belzebul_a",12,1,18,1,422.169010461315,315.34862467141,310.064960593072,419.835926993613,298.816688806512,0.641292576200778,867.027563023451,866.38627044725,0.289882441797458,-1.63455658308058,91.0333066713084,"seventy_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.62548635052634
"Alouatta_belzebul_a",11,1,19,1,469.109683728375,314.728899279309,466.860995474166,465.028730970734,458.411965782725,107.920379252073,867.027563023451,759.107183771378,0.146833314936108,-1.87703306911419,94.8943335991841,"seventy_percent",2,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.67127439808549
"Alouatta_belzebul_a",10,1,20,1,504.349127214358,308.362929887852,587.515613025082,523.203128954661,387.646740842635,0.641292576200778,857.224947930096,856.583655353895,-0.330880879427377,-1.59669214839345,97.5129204408422,"seventy_percent",1,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.70273127361015
"Alouatta_belzebul_a",10,1,21,1,506.960104131747,322.883655011779,508.636626152387,511.831637380244,501.876211427305,107.920379252073,867.027563023451,759.107183771378,-0.0359160958901307,-2.020038798382,102.104776907726,"seventy_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.70497378332311
"Alouatta_belzebul_a",12,1,22,1,427.772686067641,313.068483343429,310.064960593072,427.540599230539,379.22554324899,0.641292576200778,857.224947930096,856.583655353895,0.15870443054442,-1.78715313554472,90.3750865665582,"seventy_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.63121305076191
"Alouatta_belzebul_a",11,1,23,1,457.050051905794,284.281681804967,319.08886327247,446.492321744358,262.415383079171,142.092112241058,867.027563023451,724.935450782393,0.29342479805327,-1.7408318415271,85.7141521198434,"seventy_percent",4,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.65996376259987
"Alouatta_belzebul_a",12,1,24,1,417.504370412998,279.332926336962,310.064960593072,404.490711777381,240.751173140703,107.920379252073,857.224947930096,749.304568678023,0.420091330069747,-1.57811106954855,80.6364701070854,"seventy_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.62066102601439
"Alouatta_belzebul_a",12,1,25,1,422.12320384873,297.252859804668,392.974929373318,419.780959058511,386.899699120616,0.641292576200778,867.027563023451,866.38627044725,0.153166812878709,-1.58748481931626,85.8095093128055,"seventy_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.62543922570685
"Alouatta_belzebul_a",13,1,26,1,385.437979810167,291.362210498295,301.041057913675,377.529772456898,245.844639427184,0.641292576200778,857.224947930096,856.583655353895,0.422520772102334,-1.4500833335251,80.8093376680103,"seventy_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.58595450639961
"Alouatta_belzebul_a",11,1,27,1,471.6332116581,288.05072290159,466.860995474166,480.032941404383,292.297051959826,0.641292576200778,867.027563023451,866.38627044725,-0.00417970963870605,-1.47161252872962,86.8505607686553,"seventy_percent",4,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.67360437982422
"Alouatta_belzebul_a",11,1,28,1,458.774046234022,284.868394628005,319.08886327247,448.599425923303,262.415383079171,142.092112241058,867.027563023451,724.935450782393,0.267732715278925,-1.78733361564278,85.8910526919989,"seventy_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.66159884101613
"Alouatta_belzebul_a",12,1,29,1,428.520860739875,268.674958569165,392.974929373318,416.730238660298,360.413674430948,107.920379252073,867.027563023451,759.107183771378,0.230186616267373,-1.64557734536666,77.5597798272095,"seventy_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.63197196857823
"Alouatta_belzebul_a",10,1,30,1,520.106601943864,303.205941425836,587.515613025082,541.674645479873,312.399265570446,0.641292576200778,867.027563023451,866.38627044725,-0.452384175495639,-1.41197210403837,95.8821375001244,"seventy_percent",2,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.71609236650237
"Alouatta_belzebul_a",12,1,31,1,425.29912898801,297.341361299822,392.974929373318,423.592069225647,375.354508871275,0.641292576200778,867.027563023451,866.38627044725,0.165810394604345,-1.56515101721298,85.8350574938311,"seventy_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.62869449328047
"Alouatta_belzebul_a",12,1,32,1,427.894837034537,323.438101686679,392.974929373318,426.706918881479,397.290370345023,0.641292576200778,867.027563023451,866.38627044725,0.201778827066328,-1.73072137638175,93.3685375374929,"seventy_percent",2,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.63133704633217
"Alouatta_belzebul_a",11,1,33,1,474.664776563777,262.246542577858,466.860995474166,472.907468335486,292.297051959826,107.920379252073,857.224947930096,749.304568678023,0.14686656959719,-1.58951446736114,79.0703076635198,"seventy_percent",2,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.6763870052352
"Alouatta_belzebul_a",11,1,34,1,467.668857550678,303.461259545651,466.860995474166,464.356900652809,447.545904371575,107.920379252073,857.224947930096,749.304568678023,0.0347396502340955,-1.92399705485244,91.4970123928709,"seventy_percent",2,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.66993845084884
"Alouatta_belzebul_a",11,1,35,1,455.351043002613,296.381598448984,466.860995474166,461.221692502494,426.357084619831,0.641292576200778,857.224947930096,856.583655353895,0.0194499067080268,-1.61699245725372,89.3624142564601,"seventy_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.65834633568459
"Alouatta_belzebul_a",11,1,36,1,456.675270530092,302.78687834624,466.860995474166,462.840192813858,426.357084619831,0.641292576200778,857.224947930096,856.583655353895,-0.0206909576377005,-1.64490253433058,91.2936788106787,"seventy_percent",1,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.65960749471822
"Alouatta_belzebul_a",12,1,37,1,420.61922006883,297.866589478383,383.95102669392,417.976178522631,383.911532232548,0.641292576200778,867.027563023451,866.38627044725,0.163958943352059,-1.59483684088665,85.9866778089701,"seventy_percent",4,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.62388911375953
"Alouatta_belzebul_a",12,1,38,1,428.429247514704,301.330163784833,392.974929373318,427.348211457679,386.899699120616,0.641292576200778,867.027563023451,866.38627044725,0.143508653961129,-1.61852560129567,86.9865255880636,"seventy_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.63187911108762
"Alouatta_belzebul_a",10,1,39,1,518.091110990089,256.363618977429,488.939782740505,522.699256216217,303.366852022433,142.092112241058,857.224947930096,715.132835689038,0.051081721682722,-1.72788007893885,81.0692945172243,"seventy_percent",1,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.71440614105942
"Alouatta_belzebul_a",9,1,40,1,567.248731767689,281.082982770195,664.012656043319,567.248731767689,263.909466523209,0.641292576200778,867.027563023451,866.38627044725,-0.72330417913754,-0.800133605041447,93.694327590065,"seventy_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.75377353357961
"Alouatta_belzebul_a",12,1,41,1,436.636265602987,288.990470916727,392.974929373318,437.19663316362,375.354508871275,0.641292576200778,867.027563023451,866.38627044725,0.126935198216402,-1.47236381798046,83.4243630885045,"seventy_percent",4,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.64011980397315
"Alouatta_belzebul_a",9,1,42,1,573.447893337631,272.140300956876,664.012656043319,573.447893337631,292.297051959826,157.666360520217,867.027563023451,709.361202503234,-0.233535918160291,-1.78095698868585,90.713433652292,"seventy_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.75849396161997
"Alouatta_belzebul_a",11,1,27,1,532.772546747579,244.735287015102,511.018570006844,538.400745085895,311.312659429332,157.666360520217,857.224947930096,699.558587409879,-0.0518836741786006,-1.68211430887249,73.7904654535484,"eighty_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.72654183796552
"Alouatta_belzebul_a",12,1,28,1,488.359565647753,308.123103031427,488.939782740505,499.264593217338,436.951494495703,0.641292576200778,867.027563023451,866.38627044725,-0.0936323769762193,-1.65586606830178,88.9474782393686,"eighty_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.68873969879658
"Alouatta_belzebul_a",13,1,29,1,458.93997508241,282.440892881227,466.860995474166,453.751975799619,426.357084619831,107.920379252073,867.027563023451,759.107183771378,0.122177877039995,-1.73843885174874,78.3350093516228,"eighty_percent",4,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.66175588772644
"Alouatta_belzebul_a",12,1,30,1,481.671800210231,300.528306816951,488.939782740505,480.511366024724,485.712945078224,107.920379252073,867.027563023451,759.107183771378,0.0312690194334407,-1.80410871810753,86.7550494199345,"eighty_percent",4,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.68275122100494
"Alouatta_belzebul_a",12,1,31,1,486.405150177426,311.518753680231,488.939782740505,496.919294652946,442.384525201278,0.641292576200778,867.027563023451,866.38627044725,-0.11242062538034,-1.65296341923246,89.9277181474491,"eighty_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.68699816470587
"Alouatta_belzebul_a",13,1,32,1,448.693388205532,296.124440677728,466.860995474166,452.286164196874,426.357084619831,0.641292576200778,857.224947930096,856.583655353895,0.000346818782461257,-1.65014138275909,82.1301426755109,"eighty_percent",2,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.65194966996318
"Alouatta_belzebul_a",14,1,33,1,412.495090136654,297.936279809045,310.064960593072,408.938533859459,274.368050631431,0.641292576200778,867.027563023451,866.38627044725,0.266950054154496,-1.62009742455608,79.6268201525329,"eighty_percent",4,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.61541878357867
"Alouatta_belzebul_a",12,1,34,1,497.978954290764,262.76176688602,488.939782740505,501.0602124307,303.366852022433,107.920379252073,857.224947930096,749.304568678023,-0.0102759457677274,-1.64978345636699,75.8527884221927,"eighty_percent",2,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.69721098888718
"Alouatta_belzebul_a",11,1,35,1,523.869406955909,295.865557021189,511.018570006844,528.160422361166,490.738498480886,142.092112241058,867.027563023451,724.935450782393,-0.122911667640904,-1.83138293895672,89.2068219117077,"eighty_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.7192230371611
"Alouatta_belzebul_a",14,1,36,1,428.579754956057,298.833197317848,392.974929373318,427.703976148762,386.899699120616,0.641292576200778,867.027563023451,866.38627044725,0.144058584643086,-1.63876959743896,79.8665314398285,"eighty_percent",3,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.63203165219687
"Alouatta_belzebul_a",12,1,37,1,484.282777127619,285.035388385959,488.939782740505,495.352708502513,303.366852022433,0.641292576200778,857.224947930096,856.583655353895,-0.185607045542127,-1.45609261343834,82.2826291066015,"eighty_percent",2,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.68509902421598
"Alouatta_belzebul_a",13,1,38,1,456.156342471429,308.542998646351,466.860995474166,460.214872411721,447.545904371575,0.641292576200778,867.027563023451,866.38627044725,0.0392617507223427,-1.66183177049962,85.5744309465257,"eighty_percent",2,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.65911371774238
"Alouatta_belzebul_a",4,1,1,1,558.978093384148,407.384241640346,684.12175896847,558.978093384148,263.909466523211,0.641292576200778,867.027563023451,866.38627044725,-0.437820360155568,-1.9643203768947,203.692120820173,"thirty_percent",1,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.74739478801378
"Alouatta_belzebul_a",5,1,2,1,441.539100036752,355.749067604879,511.018570006844,441.539100036752,513.013924373723,0.641292576200778,867.027563023451,866.38627044725,-0.0820846122611572,-2.01496901553869,159.095819619336,"thirty_percent",2,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.64496916811363
"Alouatta_belzebul_a",6,1,3,1,360.681267500349,224.103079712969,310.064960593072,360.681267500349,220.51313376244,157.666360520217,754.434909287623,596.768548767406,0.682672531845076,-1.19304311310939,91.4896991805065,"thirty_percent",2,"Fialho et al. 2014","Neotropics","Atelidae","Alouatta","Alouatta_belzebul","Alouatta belzebul","Vulnerable",1,2.55712358719641
