"OID","N","N_study","Source","BASE","X","Y","Precise","Country","Realm","Family","Genus","Taxon","Taxon_ITIS","Sample_met","Occurrence","Sample_yea","Sampling_e","Sampling_1","ID_Todo","TRAITS","BodyMass_k","DielActivi","HomeRange_","Locomotion","TrophicGui","Brain_size","Canine_Dim","MeanGroupS","Interbirth","Gestation","WeaningAge","MaxLongevi","LitterSz","AdultSexRa","Social_Sys","Mating_Sys","FOREST","BIOME","TaxonNameIUCN","redlistCategory","species_number","Source_grp","Dataset","row_id","nearpatch_ID","metric","treecover","near_p_dist","patch_area","dataset_row_id","row_id_2"
-1,169,538,"Fialho et al. 2014","Ocurrencias",-34.97588889,-7.51325,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3236,583,"area",1,0,288.948112191034,25,11
-1,150,538,"Fialho et al. 2014","Ocurrencias",-35.08458333,-6.646611111,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3217,460,"area",1,0,301.041057913675,6,12
-1,149,538,"Fialho et al. 2014","Ocurrencias",-35.06152778,-6.637666667,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3216,810,"area",1,0,319.08886327247,5,13
-1,173,538,"Fialho et al. 2014","Ocurrencias",-35.013,-7.777611111,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3240,766,"area",1,0,466.860995474166,29,14
-1,165,538,"Fialho et al. 2014","Ocurrencias",-34.86075,-7.14575,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3232,334,"area",1,0,511.018570006844,21,15
-1,175,538,"Fialho et al. 2014","Ocurrencias",-35.40391667,-8.712666667,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",1,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3242,1,"area",0,30.2676766818231,664.012656043319,31,16
-1,174,538,"Fialho et al. 2014","Ocurrencias",-35.05261111,-8.525777778,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Mangroves","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3241,832,"area",1,0,698.184389032304,30,17
-1,170,538,"Fialho et al. 2014","Ocurrencias",-34.99244444,-7.600861111,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3237,384,"area",1,0,754.434909287623,26,18
-1,180,538,"Fialho et al. 2014","Ocurrencias",-36.23536111,-9.757416667,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3247,211,"area",1,0,842.017152551621,36,19
-1,151,538,"Fialho et al. 2014","Ocurrencias",-35.10597222,-6.731888889,"Precise","Brazil","Neotropics","Atelidae","Alouatta","Alouatta belzebul","Alouatta_belzebul","Semi-structured interviews, local knowledge, tracks, confirmed individuals",0,2007,30,"days",NA,NA,6.4,"D",11.4375,"AR","Folivore_frugivore",52.84,1.811,7,NA,190,NA,NA,NA,1,"Polygyny","Harem Polygyny",NA,"Tropical_and_suptropical_moist_broadleaf_forest","Alouatta belzebul","Vulnerable",2,"a","Alouatta_belzebul_a",3218,615,"area",1,0,857.224947930096,7,20
