OID,N,N_study,Source,BASE,X,Y,Precise,Country,Realm,Family,Genus,Taxon,Taxon_ITIS,Sample_met,Occurrence,Sample_yea,Sampling_e,Sampling_1,ID_Todo,TRAITS,BodyMass_k,DielActivi,HomeRange_,Locomotion,TrophicGui,Brain_size,Canine_Dim,MeanGroupS,Interbirth,Gestation,WeaningAge,MaxLongevi,LitterSz,AdultSexRa,Social_Sys,Mating_Sys,FOREST,BIOME,TaxonNameIUCN,redlistCategory,species_number,Source_grp,Dataset,row_id,CC,CC_new,nearpatch_ID,metric,treecover,near_p_dist,patch_area,dataset_row_id,row_id_2
-1,3817,222,Carretero-Pinz√É≥n 2013,Richness,-73.47668333,3.562508333,Precise,Colombia,Neotropics,Aotidae,Aotus,Aotus brumbacki,Aotus_brumbacki, ,0,2009,0,NA,NA,NA,0.67,N,17.5,AR,Omnivore,NA,NA,3,NA,NA,NA,NA,NA,1,Pair,Monogamy,NA,Tropical and Subtropical Grasslands Savannas and Shrublands,Aotus brumbacki,Vulnerable,11,a,Aotus_brumbacki_a,4257,75,75,104,area,1,0,131.8179247,3,616
-1,3818,222,Carretero-Pinz√É≥n 2013,Richness,-73.48628056,3.562497222,Precise,Colombia,Neotropics,Aotidae,Aotus,Aotus brumbacki,Aotus_brumbacki, ,0,2009,0,NA,NA,NA,0.67,N,17.5,AR,Omnivore,NA,NA,3,NA,NA,NA,NA,NA,1,Pair,Monogamy,NA,Tropical and Subtropical Grasslands Savannas and Shrublands,Aotus brumbacki,Vulnerable,11,a,Aotus_brumbacki_a,4258,75,75,134,area,1,0,147.5964041,4,617
-1,3816,222,Carretero-Pinz√É≥n 2013,Richness,-73.44296111,3.561811111,Precise,Colombia,Neotropics,Aotidae,Aotus,Aotus brumbacki,Aotus_brumbacki, ,1,2009,0,NA,NA,NA,0.67,N,17.5,AR,Omnivore,NA,NA,3,NA,NA,NA,NA,NA,1,Pair,Monogamy,NA,Tropical and Subtropical Grasslands Savannas and Shrublands,Aotus brumbacki,Vulnerable,11,a,Aotus_brumbacki_a,4256,75,75,135,area,1,0,2142.717497,2,618
-1,3919,283,Larrotta Salazar et al. 2016,Richness,-75.372393,9.436313,Precise,Colombia,Neotropics,Aotidae,Aotus,Aotus griseimembra,Aotus_griseimembra,Direct observation,0,2010,0,km,NA,NA,0.51,N,NA,AR,NA,NA,NA,4,395.4,133,NA,NA,NA,NA,Pair,Monogamy,NA,Deserts and Xeric Shrublands,Aotus griseimembra,Vulnerable,12,a,Aotus_griseimembra_a,4664,50,50,9,area,0,85.65604781,0.366847926,9,619
-1,3925,283,Larrotta Salazar et al. 2016,Richness,-75.451819,9.427083,Precise,Colombia,Neotropics,Aotidae,Aotus,Aotus griseimembra,Aotus_griseimembra,Direct observation,0,2010,0,km,NA,NA,0.51,N,NA,AR,NA,NA,NA,4,395.4,133,NA,NA,NA,NA,Pair,Monogamy,NA,Deserts and Xeric Shrublands,Aotus griseimembra,Vulnerable,12,a,Aotus_griseimembra_a,4670,50,50,266,area,1,0,23.11141936,15,620
-1,3924,283,Larrotta Salazar et al. 2016,Richness,-75.439373,9.279212,Precise,Colombia,Neotropics,Aotidae,Aotus,Aotus griseimembra,Aotus_griseimembra,Direct observation,0,2010,0,km,NA,NA,0.51,N,NA,AR,NA,NA,NA,4,395.4,133,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus griseimembra,Vulnerable,12,a,Aotus_griseimembra_a,4669,75,50,357,area,1,0,667.112954,14,621
-1,3926,283,Larrotta Salazar et al. 2016,Richness,-75.457717,9.578181,Precise,Colombia,Neotropics,Aotidae,Aotus,Aotus griseimembra,Aotus_griseimembra,Direct observation,0,2010,0,km,NA,NA,0.51,N,NA,AR,NA,NA,NA,4,395.4,133,NA,NA,NA,NA,Pair,Monogamy,NA,Deserts and Xeric Shrublands,Aotus griseimembra,Vulnerable,12,a,Aotus_griseimembra_a,4671,50,50,166,area,1,0,1000.761143,16,622
-1,3912,283,Larrotta Salazar et al. 2016,Richness,-75.218109,9.509334,Precise,Colombia,Neotropics,Aotidae,Aotus,Aotus griseimembra,Aotus_griseimembra,Direct observation,0,2010,0,km,NA,NA,0.51,N,NA,AR,NA,NA,NA,4,395.4,133,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus griseimembra,Vulnerable,12,a,Aotus_griseimembra_a,4657,75,50,945,area,1,0,3957.830565,2,623
-1,3911,283,Larrotta Salazar et al. 2016,Richness,-75.109925,9.929378,Precise,Colombia,Neotropics,Aotidae,Aotus,Aotus griseimembra,Aotus_griseimembra,Direct observation,0,2010,0,km,NA,NA,0.51,N,NA,AR,NA,NA,NA,4,395.4,133,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus griseimembra,Vulnerable,12,a,Aotus_griseimembra_a,4656,75,50,784,area,1,0,4271.760678,1,624
-1,3916,283,Larrotta Salazar et al. 2016,Richness,-75.354086,9.538907,Precise,Colombia,Neotropics,Aotidae,Aotus,Aotus griseimembra,Aotus_griseimembra,Direct observation,1,2010,0,km,NA,NA,0.51,N,NA,AR,NA,NA,NA,4,395.4,133,NA,NA,NA,NA,Pair,Monogamy,NA,Deserts and Xeric Shrublands,Aotus griseimembra,Vulnerable,12,a,Aotus_griseimembra_a,4661,50,50,487,area,1,0,6342.892358,6,625
-1,4051,268,Aquino et al. 2016c,Ocurrencias,-77.33103128,-8.653672698,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Interviews,0,2015,0,km,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,a,Aotus_miconax_a,6016,75,75,1,area,0,229.7207482,0.181971111,3,626
-1,4053,268,Aquino et al. 2016c,Ocurrencias,-76.34663569,-9.259755778,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Transects,1,2015,34,km,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,a,Aotus_miconax_a,6018,75,75,7,area,0,150.81906,1.455768887,5,627
-1,4055,268,Aquino et al. 2016c,Ocurrencias,-75.88303136,-9.774108553,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Transects,1,2015,27,km,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,a,Aotus_miconax_a,6020,75,75,2189,area,1,0,4314.353069,7,628
-1,4054,268,Aquino et al. 2016c,Ocurrencias,-75.99629013,-9.509310537,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Transects,1,2015,38,km,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,a,Aotus_miconax_a,6019,75,75,744,area,1,0,7225.617886,6,629
-1,4050,268,Aquino et al. 2016c,Ocurrencias,-76.69548045,-8.613076987,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Interviews,1,2015,98,km,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,a,Aotus_miconax_a,6015,75,75,1699,area,1,0,7986.985015,2,630
-1,4052,268,Aquino et al. 2016c,Ocurrencias,-76.3236612,-8.925323434,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Transects,1,2015,76,km,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,a,Aotus_miconax_a,6017,75,75,743,area,1,0,9528.644266,4,631
-1,4049,268,Aquino et al. 2016c,Ocurrencias,-76.50007744,-8.615589365,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Interviews,1,2015,129,km,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,a,Aotus_miconax_a,6014,75,75,431,area,1,0,9656.933899,1,632
-1,4021,43,Aquino et al. 2017,Ocurrencias,-76.56083333,-9.241944444,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,NA,0,2016,160,km,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,b,Aotus_miconax_b,6117,75,75,1402,area,1,0,8431.569331,4,633
-1,4022,43,Aquino et al. 2017,Ocurrencias,-75.67138889,-9.738333333,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,NA,1,2016,213,km,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,b,Aotus_miconax_b,6118,75,75,987,area,0,30.22475352,8453.402835,5,634
-1,4018,43,Aquino et al. 2017,Ocurrencias,-76.83166667,-8.441388889,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,NA,1,2016,182,km,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,b,Aotus_miconax_b,6115,75,75,599,area,0,42.74425635,8882.033797,2,635
-1,4017,43,Aquino et al. 2017,Ocurrencias,-76.87361111,-8.161666667,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,NA,0,2016,138,km,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,b,Aotus_miconax_b,6114,75,75,961,area,1,0,9120.466622,1,636
-1,4019,43,Aquino et al. 2017,Ocurrencias,-76.58166667,-8.476944444,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,NA,1,2016,106,km,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,b,Aotus_miconax_b,6116,75,75,1069,area,1,0,9191.082933,3,637
-1,4020,43,Aquino et al. 2017,Ocurrencias,-76.50027778,-8.615555556,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,NA,0,2015,129,km,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,b,Aotus_miconax_b,6021,75,75,433,area,1,0,9662.814847,1,638
-1,4028,56,Shanee et al 2013,Richness,-76.79111111,-8.651666667,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Trails,0,2009,0,NA,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,c,Aotus_miconax_c,4262,75,75,422,area,0,30.18191294,212.3419482,4,639
-1,4025,56,Shanee et al 2013,Richness,-76.39333333,-9.258055556,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Trails,0,2009,0,NA,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,c,Aotus_miconax_c,4261,75,75,860,area,1,0,5735.692161,3,640
-1,4038,56,Shanee et al 2013,Richness,-77.59388889,-5.961944444,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Trails,0,2009,0,NA,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,c,Aotus_miconax_c,4268,75,75,1743,area,1,0,5834.621099,10,641
-1,4031,56,Shanee et al 2013,Richness,-76.95444444,-5.962222222,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Trails,0,2009,0,NA,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,c,Aotus_miconax_c,4263,75,75,1140,area,1,0,6665.132271,5,642
-1,4042,56,Shanee et al 2013,Richness,-77.91,-5.665555556,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Trails,1,2009,0,NA,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,c,Aotus_miconax_c,4269,75,75,866,area,1,0,6717.147394,11,643
-1,4037,56,Shanee et al 2013,Richness,-77.5575,-6.267777778,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Trails,1,2009,0,NA,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,c,Aotus_miconax_c,4267,75,75,993,area,1,0,8010.237894,9,644
-1,4035,56,Shanee et al 2013,Richness,-77.3875,-5.894444444,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Trails,0,2009,0,NA,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,c,Aotus_miconax_c,4265,75,75,808,area,1,0,8055.056529,7,645
-1,4024,56,Shanee et al 2013,Richness,-76.28972222,-6.4625,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Trails,0,2009,0,NA,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,c,Aotus_miconax_c,4260,75,75,666,area,1,0,8589.145264,2,646
-1,4023,56,Shanee et al 2013,Richness,-77.13555556,-8.117222222,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Trails,0,2009,0,NA,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,c,Aotus_miconax_c,4259,75,75,1189,area,1,0,8685.15917,1,647
-1,4036,56,Shanee et al 2013,Richness,-77.46083333,-7.320555556,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Trails,0,2009,0,NA,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,c,Aotus_miconax_c,4266,75,75,1629,area,1,0,8854.777663,8,648
-1,4044,56,Shanee et al 2013,Richness,-78.20666667,-4.883055556,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Trails,0,2009,0,NA,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,c,Aotus_miconax_c,4270,75,75,524,area,1,0,9596.926892,12,649
-1,4032,56,Shanee et al 2013,Richness,-77.08111111,-6.361666667,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Trails,0,2009,0,NA,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,c,Aotus_miconax_c,4264,75,75,466,area,1,0,9601.754915,6,650
-1,4013,28,Shanee et al. 2015,Ocurrencias,-77.79833333,-5.908333333,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Referred to by local,1,2011,0,Day,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,d,Aotus_miconax_d,5033,75,75,3,area,0,284.8645755,0.364709332,40,651
-1,3990,28,Shanee et al. 2015,Ocurrencias,-78.00027778,-5.993888889,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Referred to by local,1,2011,0,Day,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,d,Aotus_miconax_d,5010,75,75,275,area,0,217.7434572,0.638241331,17,652
-1,4006,28,Shanee et al. 2015,Ocurrencias,-77.49305556,-7.144722222,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax, ,0,2011,0,Day,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,d,Aotus_miconax_d,5026,75,75,340,area,0,278.3895348,0.638241331,33,653
-1,3996,28,Shanee et al. 2015,Ocurrencias,-77.91527778,-6.265555556,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax, ,0,2011,0,Day,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,d,Aotus_miconax_d,5016,75,75,1,area,0,95.48682266,0.91177333,23,654
-1,3998,28,Shanee et al. 2015,Ocurrencias,-77.45083333,-6.346666667,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,"Audio, food residue, referred to by local",1,2011,0,Day,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,d,Aotus_miconax_d,5018,75,75,965,area,1,0,2.826497323,25,655
-1,4003,28,Shanee et al. 2015,Ocurrencias,-77.98055556,-5.909722222,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,"Visual, audio, referred to by local",1,2011,0,Day,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,d,Aotus_miconax_d,5023,75,75,11,area,0,90.58675384,3.008851989,30,656
-1,3986,28,Shanee et al. 2015,Ocurrencias,-77.64777778,-6.053611111,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Referred to by local,1,2011,0,Day,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,d,Aotus_miconax_d,5006,75,75,9,area,0,30.19558461,6.382413311,13,657
-1,4011,28,Shanee et al. 2015,Ocurrencias,-77.95555556,-6.0175,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Referred to by local,1,2011,0,Day,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,d,Aotus_miconax_d,5031,75,75,1026,area,1,0,13.76777728,38,658
-1,3989,28,Shanee et al. 2015,Ocurrencias,-78.16583333,-5.938333333,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Referred to by local,1,2011,0,Day,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,d,Aotus_miconax_d,5009,75,75,1,area,0,30.19558461,58.53584779,16,659
-1,4015,28,Shanee et al. 2015,Ocurrencias,-77.99027778,-6.389444444,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,"Referred to by researcher, referred to by local",1,2011,0,Day,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,d,Aotus_miconax_d,5035,75,75,2,area,0,60.39116923,1696.810167,42,660
-1,4004,28,Shanee et al. 2015,Ocurrencias,-78.32972222,-6.216666667,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,"Visual, referred to by local",1,2011,0,Day,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,d,Aotus_miconax_d,5024,75,75,835,area,1,0,2201.385528,31,661
-1,3994,28,Shanee et al. 2015,Ocurrencias,-78.4125,-5.918888889,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,"Visual, audio, food residue. Referred to by researcher, referred to by local",1,2011,0,Day,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,d,Aotus_miconax_d,5014,75,75,1639,area,1,0,3539.959954,21,662
-1,4008,28,Shanee et al. 2015,Ocurrencias,-76.75611111,-7.229444444,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax, ,0,2011,0,Day,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,d,Aotus_miconax_d,5028,75,75,643,area,0,60.39116923,3907.404606,35,663
-1,3976,28,Shanee et al. 2015,Ocurrencias,-76.01138889,-9.291666667,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax, ,0,2011,0,Day,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,d,Aotus_miconax_d,4996,75,75,491,area,0,42.70300528,4658.797008,3,664
-1,3999,28,Shanee et al. 2015,Ocurrencias,-77.92666667,-5.699444444,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,"Visual, audio, food residue. Referred to by local",1,2011,0,Day,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,d,Aotus_miconax_d,5019,75,75,143,area,0,85.40601057,6324.515704,26,665
-1,3978,28,Shanee et al. 2015,Ocurrencias,-75.75861111,-9.807777778,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,Referred to by local,1,2011,0,Day,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,d,Aotus_miconax_d,4998,75,75,3117,area,1,0,6583.003444,5,666
-1,3980,28,Shanee et al. 2015,Ocurrencias,-75.80361111,-9.684166667,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,"Visual, audio, referred to by local",1,2011,0,Day,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,d,Aotus_miconax_d,5000,75,75,775,area,1,0,7507.632778,7,667
-1,3974,28,Shanee et al. 2015,Ocurrencias,-76.71861111,-8.411111111,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,"Visual, audio, food residue. Refered to by locals",1,2011,0,Day,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,d,Aotus_miconax_d,4994,75,75,1784,area,1,0,8026.705334,1,668
-1,4007,28,Shanee et al. 2015,Ocurrencias,-78.24444444,-5.575555556,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,"Visual, audio, referred to by local",1,2011,0,Day,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,d,Aotus_miconax_d,5027,75,75,1952,area,1,0,8194.106918,34,669
-1,4016,28,Shanee et al. 2015,Ocurrencias,-76.1025,-6.715277778,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax, ,0,2011,0,Day,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,d,Aotus_miconax_d,5036,75,75,468,area,1,0,8476.027232,43,670
-1,4010,28,Shanee et al. 2015,Ocurrencias,-77.78666667,-5.795277778,Precise,Peru,Neotropics,Aotidae,Aotus,Aotus miconax,Aotus_miconax,"Visual, audio, referred to by local",1,2011,0,Day,NA,NA,0.8,N,1.23,AR,Omnivore,NA,NA,4,NA,NA,NA,NA,NA,NA,Pair,Monogamy,NA,Tropical_and_suptropical_moist_broadleaf_forest,Aotus miconax,Endangered,13,d,Aotus_miconax_d,5030,75,75,3410,area,1,0,8504.10985,37,671
